Term_Code_Grad,Term_Code_Admit,Gender,Programme_Major,Faculty_Code,Class_Of_Degree_Code
200420,200010,F,BSC Computer Science and Management,SA,SL
201910,201710,F,BSC Information Technology (Major),ST,SL
201230,200910,F,BSC Information Technology (Major),SA,SU
202010,201810,M,BSC Computer Science and Management,ST,SL
202010,201610,F,BSC Computer Science (Major),ST,SU
201720,201310,M,BSC Information Technology (Spec),ST,SL
202410,202210,F,BSC Information Technology (Major),ST,SU
202210,201710,F,BSC Information Technology (Spec),ST,SU
202010,201510,M,BSC Computer Science (Major),ST,SU
201230,200810,M,BSC Computer Science (Major),SA,F
202420,202110,F,BSC Information Technology (Major),ST,F
202310,202010,F,BSC Computer Science and Management,ST,SL
200630,200210,F,BSC Information Technology (Spec),SA,SL
201330,200810,M,BSC Computer Science and Management,ST,SL
202420,202310,F,BSC Information Technology (Spec),ST,SU
200820,200410,M,BSC Computer Science and Management,SA,SU
200520,200110,M,BSC Computer Science and Management,SA,SU
201330,200910,M,BSC Information Technology (Spec),ST,SU
202410,202410,F,BSC Information Technology (Spec),ST,SU
201420,201010,F,BSC Computer Science (Major),ST,SL
202210,201810,F,BSC Computer Science (Spec),ST,SL
201320,200910,M,BSC Computer Science and Management,ST,SU
200610,200310,F,BSC Computer Science (Spec),SA,SU
201920,201710,F,BSC Computer Science (Major),ST,SU
200620,200410,F,BSC Computer Science and Management,SA,F
201420,201110,M,BSC Computer Science (Spec),ST,F
201130,200910,F,BSC Computer Science (Spec),SA,SU
202430,202210,F,BSC Computer Science and Management,ST,SU
200910,200610,F,BSC Computer Science (Major),SA,SU
200520,200010,F,BSC Computer Science (Spec),SA,SU
200320,200110,F,BSC Computer Science and Management,SA,SU
200630,200210,F,BSC Computer Science (Major),SA,SU
202230,201910,F,BSC Computer Science (Spec),ST,F
201310,201110,M,BSC Computer Science and Management,ST,P
201510,201110,M,BSC Information Technology (Spec),ST,SU
201810,201610,M,BSC Information Technology (Spec),ST,SU
202420,202210,M,BSC Information Technology (Spec),ST,SU
202410,202310,F,BSC Information Technology (Major),ST,SL
202420,202210,F,BSC Computer Science (Spec),ST,SL
201710,201210,F,BSC Computer Science (Spec),ST,SL
200710,200310,M,BSC Computer Science (Major),SA,SL
200920,200410,F,BSC Information Technology (Spec),SA,F
200320,200110,M,BSC Computer Science (Major),SA,SL
201430,200910,M,BSC Information Technology (Major),ST,SU
202220,201710,M,BSC Computer Science (Spec),ST,SU
201910,201510,M,BSC Information Technology (Major),ST,F
200820,200310,F,BSC Computer Science (Major),SA,SU
201730,201210,M,BSC Computer Science (Spec),ST,SU
201420,201110,F,BSC Information Technology (Spec),ST,SL
200620,200310,F,BSC Computer Science and Management,SA,F
202430,202210,M,BSC Computer Science and Management,ST,SL
202420,202110,M,BSC Computer Science and Management,ST,SU
202410,202410,M,BSC Computer Science and Management,ST,SL
201830,201510,F,BSC Computer Science (Major),ST,SU
202410,202310,M,BSC Computer Science (Major),ST,SU
201610,201210,F,BSC Information Technology (Spec),ST,F
200530,200310,F,BSC Information Technology (Major),SA,SU
