Date of Birth,Gender,Nationality,Address,Qualification,Degree Enrolled in,Year Enrolled
05-1980,Female,Trinidad and Tobago,Sangre Grande,CSEC,BSc. Computer Science with Management,2003
08-1980,Male,Trinidad and Tobago,Arima,CAPE,BSc. Computer Science with Management,2001
06-1977,Female,Trinidad and Tobago,Arima,Other,BSc. Computer Science,2004
04-1979,Female,Trinidad and Tobago,Sangre Grande,CAPE,BSc. Computer Science,2001
06-1981,Male,Trinidad and Tobago,Penal,CAPE,BSc. Computer Science,2003
03-1981,Male,Trinidad and Tobago,Tunapuna,CSEC,BSc. Information Technology (Special),2004
07-1980,Male,Trinidad and Tobago,San Fernando,CSEC,BSc. Information Technology (Special),2001
08-1979,Male,Trinidad and Tobago,San Fernando,CAPE,BSc. Computer Science with Management,2004
02-1981,Female,Trinidad and Tobago,Chaguanas,CSEC,BSc. Computer Science,2003
02-1980,Female,Trinidad and Tobago,Couva,CAPE,BSc. Information Technology (Special),2002
01-1982,Male,Trinidad and Tobago,San Fernando,CSEC,BSc. Computer Science (Special),2000
12-1978,Male,Trinidad and Tobago,San Fernando,Other,BSc. Computer Science (Special),2000
05-1981,Female,Trinidad and Tobago,Penal,Other,BSc. Information Technology,2002
04-1978,Female,Trinidad and Tobago,Siparia,CSEC,BSc. Information Technology (Special),2004
06-1979,Female,Trinidad and Tobago,Point Fortin,CAPE,BSc. Computer Science,2004
04-1978,Female,Trinidad and Tobago,Tunapuna,CSEC,BSc. Computer Science (Special),2003
11-1977,Female,Trinidad and Tobago,San Fernando,CSEC,BSc. Information Technology (Special),2003
05-1982,Male,Trinidad and Tobago,Port of Spain,CSEC,BSc. Information Technology (Special),2001
03-1979,Male,Trinidad and Tobago,Penal,CAPE,BSc. Computer Science (Special),2002
08-1981,Male,Trinidad and Tobago,San Fernando,Other,BSc. Information Technology,2004
01-1983,Female,Trinidad and Tobago,Penal,CAPE,BSc. Information Technology,2000
03-1982,Male,Trinidad and Tobago,Couva,CSEC,BSc. Computer Science,2002
04-1978,Male,Trinidad and Tobago,Couva,Other,BSc. Computer Science,2000
09-1979,Male,Trinidad and Tobago,Chaguanas,CAPE,BSc. Information Technology,2000
11-1977,Female,Trinidad and Tobago,Arima,CSEC,BSc. Information Technology,2002
09-1977,Female,Trinidad and Tobago,Couva,CAPE,BSc. Information Technology (Special),2003
11-1982,Female,Trinidad and Tobago,Sangre Grande,CSEC,BSc. Information Technology (Special),2004
11-1979,Female,Trinidad and Tobago,Arima,CSEC,BSc. Information Technology,2000
02-1981,Female,Trinidad and Tobago,Siparia,CAPE,BSc. Information Technology,2000
11-1981,Male,Trinidad and Tobago,Arima,CAPE,BSc. Computer Science (Special),2001
12-1977,Female,Trinidad and Tobago,Chaguanas,Other,BSc. Information Technology,2004
01-1980,Female,Trinidad and Tobago,Arima,Other,BSc. Information Technology,2000
10-1980,Female,Trinidad and Tobago,Port of Spain,CAPE,BSc. Information Technology,2003
10-1979,Male,Trinidad and Tobago,Siparia,Other,BSc. Computer Science,2001
04-1982,Male,Trinidad and Tobago,Chaguanas,Other,BSc. Information Technology,2004
07-1982,Female,Trinidad and Tobago,Tunapuna,CAPE,BSc. Information Technology (Special),2000
